artists,track_name,popularity,profile,pca_1,pca_2
Rustage;Or3o;McGwire,Family Business (Spy x Family Rap),49,Bailable y positivo,1.3409,0.7148
Creep Hyp,こんなに悲しいのに腹が鳴る,39,Intenso y oscuro,0.3185,-0.0849
Propellerheads,Oh Yeah!,12,Bailable y positivo,0.4909,0.2344
Promo,What the Fuck?,17,Intenso y oscuro,-0.3977,-1.2003
Say Ocean,Amnesia,37,Intenso y oscuro,1.2566,-0.3572
Pailhead,Don't Stand In Line,20,Bailable y positivo,1.6773,0.1999
Guaco,Por Esa Forma (feat. Rubén Blades),30,Bailable y positivo,1.3925,1.7616
SHRK;Shiloh Dynasty,"I Fell in Love, Im Sorry",53,Acústico y calmado,-1.2695,1.744
Yxngxr1,"Damn, She Just Broke Up w/ Me",53,Bailable y positivo,0.3136,1.8951
GUFI,Eso Es Todo Lo Que Soy,44,Intenso y oscuro,1.369,-1.0004
Stone Sour,Song #3,61,Intenso y oscuro,0.9815,-0.8359
yetep;Kyle Reynolds,Petals from a Rose,47,Acústico y calmado,-0.8295,-0.0522
Adana Twins,C3PO,33,Intenso y oscuro,-0.2455,-1.2178
shy martin,Out of My Hands,52,Bailable y positivo,0.6659,0.254
Milton Nascimento,Canção Da América (Unencounter) - Acústico,40,Acústico y calmado,-2.3162,1.166
King Crimson,Starless,49,Intenso y oscuro,-1.6303,-1.3992
D-Block & S-te-Fan;DJ Isaac,Harder State Of Mind,65,Intenso y oscuro,0.8151,-1.1371
Ryusei Nakao;Yutaka Oda;Kozo Shioya;MAYUMI SUZUKI;Yoshito Yasuhara,A Girl Worth Fighting For,24,Directo y hablado,-0.4952,-0.1058
Deuter,Vibrant Dusk,24,Acústico y calmado,-3.7125,0.2921
Arcturus,Demon,17,Intenso y oscuro,-0.1315,-0.9761
Pitty,Agora Só Falta Você,40,Bailable y positivo,1.4137,0.2823
Adolescent's Orquesta,Tengo un Amor,30,Bailable y positivo,1.6665,1.8957
Hans Zimmer,Ashes To Ashes,16,Intenso y oscuro,-2.2339,-1.3368
Kiko Revatta,Pedernal,25,Bailable y positivo,0.3247,1.6813
Serú Girán,Canción De Alicia En El País - Remastered 2012,44,Acústico y calmado,-1.8361,0.5401
Lasse Stefanz,Lyckan inom räckhåll,38,Bailable y positivo,1.4517,0.7563
Hala,"What Is Love? Tell Me, Is It Easy?",51,Bailable y positivo,0.6602,1.717
